dataset,symbol,period,first_seen_date,final_ref_date,router,first_seen_hash,final_hash,eps_differs,direction,magnitude_bucket,first_seen_tradeable,final_tradeable,decision_flipped,surprise_sign_flipped,first_seen_stale
qt_pit_2026h1,AAOI,2026-02,2026-02-27,2026-06-04,V5,6a0062bfe2ab977e,20d7a8a8941677b8,true,up,"[0.25,1.00)",false,true,true,true,false
qt_pit_2026h1,AAON,2026-03,2026-03-03,2026-06-04,V5,331af992da111a54,331af992da111a54,false,none,0,false,false,false,false,false
qt_pit_2026h1,AAP,2026-02,2026-02-13,2026-06-04,V5,3090e63d209508df,2b89bc93d905ee50,true,up,"[0.25,1.00)",false,true,true,true,false
qt_pit_2026h1,AAP,2026-05,2026-05-21,2026-06-04,V5,f26995330d02923b,f26995330d02923b,false,none,0,true,true,false,false,false
qt_pit_2026h1,ABCL,2026-02,2026-02-25,2026-06-04,V5,86baa4a977810380,86baa4a977810380,false,none,0,true,true,false,false,false
qt_pit_2026h1,ABCL,2026-05,2026-05-10,2026-06-04,V5,fddac9b7a45f3ddd,fddac9b7a45f3ddd,false,none,0,true,true,false,false,false
qt_pit_2026h1,ABG,2026-02,2026-02-05,2026-06-04,V5,7f08b70b67c5b538,086f1b3acda769ea,true,up,>=1.00,false,false,false,false,false
qt_pit_2026h1,ABG,2026-04,2026-04-28,2026-06-04,V5,c4b86349f14e81e9,c4b86349f14e81e9,false,none,0,false,false,false,false,false
qt_pit_2026h1,ABM,2026-03,2026-03-10,2026-06-04,V5,36f0c583daf8884b,b86417e5f06a0e05,true,up,"[0.05,0.25)",false,false,false,false,false
qt_pit_2026h1,ABUS,2026-05,2026-05-13,2026-06-04,V5,a627f61fa26248dc,90b5fe447a234c28,true,down,"[0.01,0.05)",true,true,false,false,false
qt_pit_2026h1,ACA,2026-02,2026-02-27,2026-06-04,V5,47f85af6677426cf,12ab39869751d953,true,up,"[0.05,0.25)",true,true,false,false,false
qt_pit_2026h1,ACA,2026-04,2026-04-30,2026-06-04,V5,3b59b9be9902ac19,01be1933f094caa5,true,down,"[0.25,1.00)",true,true,false,false,false
qt_pit_2026h1,ACAD,2026-02,2026-02-26,2026-06-04,V5,36fd0f976d82977b,36fd0f976d82977b,false,none,0,true,true,false,false,false
